"Time (UTCG)","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Loss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Freq. Doppler Shift (kHz)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","Tatmos (K)","Train (K)","TcloudsFog (K)","TtropoScintill (K)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","Bandwidth Overlap (units)","C/N (dB)","Eb/No (dB)","BER"
15 May 2024 15:26:36.509,30.000,0.0000,30.000,188.6380,0.0000,0.0000,0.0000,0.0000,188.6380,260.256879,14.500260,-158.638,-113.954946,0.000,0.000,0.000,0.000,20.00000000,89.961148,32000.000000,1.0000,14.9096,17.9199,4.459589e-29
15 May 2024 15:26:37.000,30.000,0.0000,30.000,188.6328,0.0000,0.0000,0.0000,0.0000,188.6328,260.246150,14.500260,-158.633,-113.949778,0.000,0.000,0.000,0.000,20.00000000,89.966316,32000.000000,1.0000,14.9148,17.9251,4.140110e-29
15 May 2024 15:26:38.000,30.000,0.0000,30.000,188.6223,0.0000,0.0000,0.0000,0.0000,188.6223,260.224100,14.500260,-158.622,-113.939251,0.000,0.000,0.000,0.000,20.00000000,89.976844,32000.000000,1.0000,14.9253,17.9356,3.557340e-29
15 May 2024 15:26:39.000,30.000,0.0000,30.000,188.6118,0.0000,0.0000,0.0000,0.0000,188.6118,260.201765,14.500260,-158.612,-113.928711,0.000,0.000,0.000,0.000,20.00000000,89.987383,32000.000000,1.0000,14.9359,17.9462,3.054960e-29
15 May 2024 15:26:40.000,30.000,0.0000,30.000,188.6012,0.0000,0.0000,0.0000,0.0000,188.6012,260.179145,14.500260,-158.601,-113.918160,0.000,0.000,0.000,0.000,20.00000000,89.997934,32000.000000,1.0000,14.9464,17.9567,2.622113e-29
15 May 2024 15:26:41.000,30.000,0.0000,30.000,188.5906,0.0000,0.0000,0.0000,0.0000,188.5906,260.156238,14.500260,-158.591,-113.907597,0.000,0.000,0.000,0.000,20.00000000,90.008498,32000.000000,1.0000,14.9570,17.9673,2.249375e-29
15 May 2024 15:26:42.000,30.000,0.0000,30.000,188.5801,0.0000,0.0000,0.0000,0.0000,188.5801,260.133044,14.500260,-158.580,-113.897021,0.000,0.000,0.000,0.000,20.00000000,90.019073,32000.000000,1.0000,14.9676,17.9779,1.928573e-29
15 May 2024 15:26:43.000,30.000,0.0000,30.000,188.5695,0.0000,0.0000,0.0000,0.0000,188.5695,260.109562,14.500260,-158.569,-113.886434,0.000,0.000,0.000,0.000,20.00000000,90.029660,32000.000000,1.0000,14.9782,17.9885,1.652619e-29
15 May 2024 15:26:44.000,30.000,0.0000,30.000,188.5589,0.0000,0.0000,0.0000,0.0000,188.5589,260.085789,14.500260,-158.559,-113.875835,0.000,0.000,0.000,0.000,20.00000000,90.040259,32000.000000,1.0000,14.9888,17.9991,1.415374e-29
15 May 2024 15:26:45.000,30.000,0.0000,30.000,188.5483,0.0000,0.0000,0.0000,0.0000,188.5483,260.061725,14.500260,-158.548,-113.865224,0.000,0.000,0.000,0.000,20.00000000,90.050870,32000.000000,1.0000,14.9994,18.0097,1.211518e-29
